acc_x	acc_y	acc_z	mag	dif_x	dif_y	dif_z	diff_mag
0.06	-0.05	1.11	1.11	82.40	80.80	115.20	163.06	
0.06	-0.05	1.11	1.11	84.80	80.80	111.20	161.51	
0.06	-0.05	1.11	1.11	94.40	67.20	92.00	147.96	
0.06	-0.05	1.11	1.11	87.20	76.80	92.00	148.21	
0.06	-0.05	1.11	1.11	87.20	64.00	76.00	132.20	
0.06	-0.05	1.11	1.11	91.20	72.00	72.00	136.69	
0.06	-0.05	1.11	1.11	88.80	76.80	56.00	130.08	
0.06	-0.05	1.11	1.11	83.20	76.80	49.60	123.61	
0.06	-0.05	1.11	1.11	83.20	76.80	40.00	120.09	
0.06	-0.05	1.11	1.11	64.00	64.00	68.00	113.21	
0.06	-0.05	1.11	1.11	64.00	69.60	52.80	108.30	
0.06	-0.05	1.11	1.11	80.80	69.60	52.80	119.00	
0.06	-0.05	1.11	1.11	82.40	76.80	75.20	135.44	
0.06	-0.05	1.11	1.11	82.40	76.80	75.20	135.44	
0.06	-0.05	1.11	1.11	91.20	56.00	78.40	132.66	
0.06	-0.05	1.11	1.11	102.40	67.20	104.00	160.68	
0.06	-0.05	1.11	1.11	100.00	60.00	96.00	151.05	
0.06	-0.05	1.11	1.11	93.60	54.40	109.60	154.05	
0.06	-0.05	1.11	1.11	96.80	54.40	103.20	151.59	
0.06	-0.05	1.11	1.11	82.40	60.80	97.60	141.46	
0.06	-0.05	1.11	1.11	82.40	67.20	88.00	138.02	
0.06	-0.05	1.11	1.11	68.80	67.20	90.40	131.99	
0.06	-0.05	1.11	1.11	49.60	62.40	71.20	106.88	
0.06	-0.05	1.11	1.11	63.20	67.20	109.60	143.26	
0.06	-0.05	1.11	1.11	63.20	59.20	99.20	131.68	
0.06	-0.05	1.11	1.11	45.60	54.40	99.20	121.98	
0.06	-0.05	1.11	1.11	41.60	58.40	90.40	115.38	
0.06	-0.05	1.11	1.11	40.00	58.40	87.20	112.31	
0.06	-0.05	1.11	1.11	41.60	42.40	82.40	101.58	
0.06	-0.05	1.11	1.11	55.20	34.40	100.80	119.96	
0.06	-0.05	1.11	1.11	55.20	42.40	95.20	117.93	
0.06	-0.05	1.11	1.11	55.20	42.40	95.20	117.93	
0.06	-0.05	1.11	1.11	73.60	47.20	104.00	135.87	
0.06	-0.05	1.11	1.11	63.20	47.20	76.00	109.54	
0.06	-0.05	1.11	1.11	63.20	44.00	101.60	127.49	
0.06	-0.05	1.11	1.11	87.20	44.00	104.80	143.26	
0.06	-0.05	1.11	1.11	88.00	44.00	104.80	143.75	
0.06	-0.05	1.11	1.11	88.00	44.00	114.40	150.89	
0.06	-0.05	1.11	1.11	82.40	40.80	101.60	137.03	
0.06	-0.05	1.11	1.11	79.20	48.80	119.20	151.20	
0.06	-0.05	1.11	1.11	105.60	44.80	146.40	185.99	
0.06	-0.05	1.11	1.11	101.60	44.80	134.40	174.34	
0.06	-0.05	1.11	1.11	80.80	33.60	134.40	160.38	
0.06	-0.05	1.11	1.11	90.40	48.80	111.20	151.39	
0.06	-0.05	1.11	1.11	95.20	56.80	98.40	148.23	
0.06	-0.05	1.11	1.11	95.20	58.40	96.80	147.80	
0.06	-0.05	1.11	1.11	92.80	68.80	108.00	158.14	
0.06	-0.05	1.11	1.11	102.40	59.20	90.40	148.87	
0.06	-0.05	1.11	1.11	92.00	65.60	92.80	146.22	
0.06	-0.05	1.11	1.11	81.60	54.40	84.00	129.13	
0.06	-0.05	1.11	1.11	81.60	64.00	84.00	133.46	
0.06	-0.05	1.11	1.11	67.20	60.80	72.80	116.24	
0.06	-0.05	1.11	1.11	80.00	60.80	72.00	123.61	
0.06	-0.05	1.11	1.11	64.80	36.80	92.80	119.02	
0.06	-0.05	1.11	1.11	59.20	34.40	82.40	107.13	
0.06	-0.05	1.11	1.11	60.00	29.60	82.40	106.14	
0.06	-0.05	1.11	1.11	61.60	26.40	108.80	127.78	
0.06	-0.05	1.11	1.11	64.00	34.40	129.60	148.58	
0.06	-0.05	1.11	1.11	92.00	31.20	128.00	160.69	
0.06	-0.05	1.11	1.11	92.00	27.20	103.20	140.90	
0.06	-0.05	1.11	1.11	92.00	40.80	105.60	145.88	
0.06	-0.05	1.11	1.11	97.60	39.20	132.80	169.41	
0.06	-0.05	1.11	1.11	77.60	48.00	103.20	137.75	
0.06	-0.05	1.11	1.11	77.60	48.00	136.00	163.77	
0.06	-0.05	1.11	1.11	72.80	44.80	133.60	158.61	
0.06	-0.05	1.11	1.11	81.60	52.80	141.60	171.75	
0.06	-0.05	1.11	1.11	81.60	52.80	96.80	137.17	
0.06	-0.05	1.11	1.11	98.40	51.20	91.20	143.60	
0.06	-0.05	1.11	1.11	63.20	51.20	91.20	122.20	
0.06	-0.05	1.11	1.11	63.20	45.60	82.40	113.42	
0.06	-0.05	1.11	1.11	67.20	47.20	104.00	132.51	
0.06	-0.05	1.11	1.11	67.20	47.20	91.20	122.72	
0.06	-0.05	1.11	1.11	67.20	38.40	69.60	104.09	
0.06	-0.05	1.11	1.11	56.00	40.00	81.60	106.75	
0.06	-0.05	1.11	1.11	77.60	48.80	113.60	145.97	
0.06	-0.05	1.11	1.11	92.80	48.80	100.00	144.89	
0.06	-0.05	1.11	1.11	92.80	39.20	100.00	141.95	
0.06	-0.05	1.11	1.11	124.00	44.00	128.00	183.56	
0.06	-0.05	1.11	1.11	117.60	51.20	128.00	181.20	
0.06	-0.05	1.11	1.11	117.60	51.20	114.40	171.87	
0.06	-0.05	1.11	1.11	114.40	45.60	122.40	173.63	
0.06	-0.05	1.11	1.11	124.00	44.80	134.40	188.27	
0.06	-0.05	1.11	1.11	116.00	54.40	121.60	176.64	
0.06	-0.05	1.11	1.11	116.00	54.40	97.60	161.06	
0.06	-0.05	1.11	1.11	100.00	52.00	82.40	139.62	
0.06	-0.05	1.11	1.11	93.60	52.00	80.00	133.66	
0.06	-0.05	1.11	1.11	83.20	63.20	65.60	123.37	
0.06	-0.05	1.11	1.11	78.40	63.20	70.40	122.87	
0.06	-0.05	1.11	1.11	84.00	43.20	70.40	117.81	
0.06	-0.05	1.11	1.11	84.00	55.20	87.20	133.07	
0.06	-0.05	1.11	1.11	84.00	56.80	119.20	156.50	
0.06	-0.05	1.11	1.11	80.80	65.60	101.60	145.45	
0.06	-0.05	1.11	1.11	80.00	48.80	112.80	146.65	
0.06	-0.05	1.11	1.11	68.80	48.80	116.80	144.07	
0.06	-0.05	1.11	1.11	92.00	56.80	116.80	159.16	
0.06	-0.05	1.11	1.11	78.40	68.00	116.80	156.25	
0.06	-0.05	1.11	1.11	78.40	68.00	140.80	174.91	
0.06	-0.05	1.11	1.11	61.60	74.40	112.00	147.90	
0.06	-0.05	1.11	1.11	61.60	95.20	112.00	159.38	
0.06	-0.05	1.11	1.11	68.00	72.00	77.60	125.82	
0.06	-0.05	1.11	1.11	64.80	76.80	93.60	137.33	
0.06	-0.05	1.11	1.11	83.20	78.40	77.60	138.17	
0.06	-0.05	1.11	1.11	86.40	78.40	77.60	140.12	
0.06	-0.05	1.11	1.11	86.40	73.60	87.20	143.13	
0.06	-0.05	1.11	1.11	76.00	89.60	75.20	139.50	
0.06	-0.05	1.11	1.11	84.80	64.00	75.20	130.16	
0.06	-0.05	1.11	1.11	84.80	69.60	73.60	132.11	
0.06	-0.05	1.11	1.11	72.80	69.60	63.20	118.90	
0.06	-0.05	1.11	1.11	79.20	56.80	92.80	134.58	
0.06	-0.05	1.11	1.11	79.20	51.20	100.00	137.46	
0.06	-0.05	1.11	1.11	68.00	48.00	120.00	146.04	
0.06	-0.05	1.11	1.11	68.80	52.00	138.40	163.07	
0.06	-0.05	1.11	1.11	68.80	57.60	154.40	178.58	
0.06	-0.05	1.11	1.11	62.40	48.00	148.80	168.34	
0.06	-0.05	1.11	1.11	62.40	41.60	151.20	168.78	
0.06	-0.05	1.11	1.11	55.20	46.40	149.60	166.07	
0.06	-0.05	1.11	1.11	58.40	64.00	167.20	188.31	
0.06	-0.05	1.11	1.11	58.40	72.00	167.20	191.18	
0.06	-0.05	1.11	1.11	44.00	72.00	160.00	180.89	
0.06	-0.05	1.11	1.11	46.40	79.20	163.20	187.24	
0.06	-0.05	1.11	1.11	46.40	79.20	112.80	145.43	
0.06	-0.05	1.11	1.11	36.80	76.80	101.60	132.57	
0.06	-0.05	1.11	1.11	56.80	74.40	91.20	130.69	
0.06	-0.05	1.11	1.11	46.40	74.40	81.60	119.78	
0.06	-0.05	1.11	1.11	58.40	72.00	81.60	123.50	
0.06	-0.05	1.11	1.11	58.40	72.00	90.40	129.49	
0.06	-0.05	1.11	1.11	53.60	54.40	74.40	106.62	
0.06	-0.05	1.11	1.11	65.60	60.80	68.00	112.36	
0.06	-0.05	1.11	1.11	65.60	61.60	68.00	112.79	
0.06	-0.05	1.11	1.11	77.60	49.60	68.00	114.48	
0.06	-0.05	1.11	1.11	77.60	62.40	57.60	115.04	
0.06	-0.05	1.11	1.11	61.60	56.80	83.20	118.08	
0.06	-0.05	1.11	1.11	52.00	65.60	80.80	116.34	
0.06	-0.05	1.11	1.11	55.20	68.00	100.80	133.54	
0.06	-0.05	1.11	1.11	35.20	72.00	100.80	128.78	
0.06	-0.05	1.11	1.11	35.20	80.00	76.80	116.35	
0.06	-0.05	1.11	1.11	33.60	76.80	76.00	113.15	
0.06	-0.05	1.11	1.11	36.00	67.20	82.40	112.26	
0.06	-0.05	1.11	1.11	52.80	67.20	82.40	118.72	
0.06	-0.05	1.11	1.11	50.40	65.60	90.40	122.54	
0.06	-0.05	1.11	1.11	57.60	65.60	104.00	135.78	
0.06	-0.05	1.11	1.11	72.00	67.20	86.40	131.01	
0.06	-0.05	1.11	1.11	77.60	87.20	86.40	145.23	
0.06	-0.05	1.11	1.11	92.80	68.80	117.60	164.85	
0.06	-0.05	1.11	1.11	90.40	68.80	111.20	158.97	
0.06	-0.05	1.11	1.11	102.40	64.80	128.00	176.26	
0.06	-0.05	1.11	1.11	92.80	63.20	142.40	181.34	
0.06	-0.05	1.11	1.11	104.80	62.40	168.80	208.26	
0.06	-0.05	1.11	1.11	72.00	60.80	173.60	197.53	
0.06	-0.05	1.11	1.11	72.00	56.80	168.00	191.40	
0.06	-0.05	1.11	1.11	66.40	57.60	158.40	181.16	
0.06	-0.05	1.11	1.11	59.20	57.60	168.00	187.21	
0.06	-0.05	1.11	1.11	59.20	60.00	184.80	203.11	
0.08	-0.05	1.06	1.06	686.40	154.40	1769.60	1904.33	
0.06	-0.05	1.09	1.09	1248.80	354.40	2794.40	3081.20	
0.06	-0.05	1.10	1.10	1253.60	405.60	2733.60	3034.57	
0.07	-0.04	1.10	1.10	1373.60	800.80	2733.60	3162.38	
0.07	-0.03	1.10	1.10	1392.00	796.80	2748.00	3181.83	
0.07	-0.02	1.10	1.10	1376.00	792.00	2792.00	3211.84	
0.07	-0.03	1.09	1.09	1656.00	1012.80	2991.20	3565.86	
0.08	-0.03	1.09	1.09	2023.20	1023.20	2991.20	3753.34	
0.10	-0.04	1.10	1.11	2393.60	1612.00	3314.40	4394.67	
0.12	-0.05	1.10	1.11	1751.20	1612.00	3314.40	4080.50	
0.10	-0.06	1.15	1.15	1751.20	1535.20	1808.80	2948.78	
0.11	-0.05	1.11	1.12	1368.00	1340.00	1147.20	2232.28	
0.10	-0.07	1.10	1.11	1757.60	1777.60	822.40	2631.61	
0.08	-0.07	1.10	1.11	1757.60	1768.00	918.40	2656.77	
0.06	-0.06	1.11	1.11	1964.80	2000.00	918.40	2950.24	
0.04	-0.06	1.12	1.12	1652.80	2000.00	1296.80	2900.59	
0.04	-0.05	1.15	1.15	1652.80	1748.00	1229.60	2701.70	
0.02	-0.07	1.17	1.17	1826.40	1868.00	941.60	2777.01	
-0.02	-0.08	1.20	1.20	1730.40	1868.00	1407.20	2909.28	
-0.06	-0.07	1.23	1.23	1448.80	1868.00	1407.20	2751.12	
-0.08	-0.06	1.27	1.27	1156.00	2248.00	1440.80	2909.60	
-0.09	-0.03	1.29	1.30	881.60	2752.80	1287.20	3164.18	
-0.08	0.00	1.30	1.30	881.60	1975.20	1119.20	2435.41	
-0.09	-0.00	1.30	1.30	804.00	2224.00	1119.20	2616.33	
-0.08	-0.03	1.30	1.30	1132.80	2241.60	1180.00	2774.96	
-0.05	-0.05	1.29	1.29	1218.40	1985.60	1180.00	2611.42	
-0.03	-0.06	1.26	1.27	1584.80	1671.20	1316.00	2652.61	
0.00	-0.05	1.24	1.24	1488.80	1711.20	1336.00	2632.42	
0.02	-0.02	1.19	1.19	1488.80	1423.20	1479.20	2535.76	
0.04	-0.02	1.14	1.14	1511.20	1233.60	1685.60	2578.13	
0.07	-0.03	1.10	1.10	1518.40	1360.00	1209.60	2370.29	
0.09	-0.06	1.07	1.08	1253.60	1105.60	758.40	1835.49	
0.11	-0.09	1.07	1.08	1253.60	668.00	752.80	1607.62	
0.12	-0.10	1.07	1.08	924.80	388.80	882.40	1336.06	
0.12	-0.09	1.08	1.09	953.60	659.20	854.40	1440.10	
0.12	-0.08	1.08	1.09	953.60	774.40	854.40	1496.34	
0.11	-0.07	1.08	1.09	862.40	652.00	854.40	1377.98	
0.11	-0.07	1.08	1.09	784.80	879.20	895.20	1479.96	
0.10	-0.09	1.09	1.10	814.40	872.00	895.20	1491.65	
0.09	-0.09	1.09	1.10	1228.80	839.20	801.60	1690.20	
0.08	-0.09	1.10	1.11	1089.60	839.20	801.60	1591.87	
0.09	-0.09	1.10	1.11	1194.40	868.80	801.60	1680.47	
0.10	-0.10	1.10	1.11	1292.80	1024.80	801.60	1834.15	
0.11	-0.10	1.09	1.10	1292.80	1024.80	668.80	1780.12	
0.13	-0.11	1.07	1.09	1029.60	1132.00	824.00	1737.95	
0.14	-0.11	1.07	1.08	698.40	1046.40	736.80	1457.94	
0.14	-0.12	1.06	1.08	743.20	1046.40	867.20	1548.98	
0.13	-0.11	1.05	1.07	821.60	1128.00	752.00	1585.22	
0.13	-0.11	1.05	1.06	803.20	994.40	600.00	1412.08	
0.14	-0.12	1.05	1.07	426.40	964.80	486.40	1161.57	
0.14	-0.12	1.04	1.06	435.20	758.40	507.20	1010.85	
0.14	-0.13	1.04	1.06	435.20	758.40	507.20	1010.85	
0.14	-0.12	1.05	1.06	426.40	652.00	666.40	1025.19	
0.13	-0.12	1.06	1.07	458.40	659.20	798.40	1132.31	
0.13	-0.12	1.07	1.09	506.40	544.80	640.00	981.25	
0.12	-0.12	1.08	1.09	513.60	392.00	640.00	909.42	
0.11	-0.11	1.09	1.10	234.40	296.00	640.00	743.07	
0.11	-0.11	1.09	1.10	279.20	304.80	640.00	761.88	
0.11	-0.10	1.09	1.10	260.00	304.80	648.80	762.53	
0.11	-0.10	1.09	1.10	258.40	296.00	694.40	797.86	
0.11	-0.10	1.10	1.11	324.00	296.00	596.00	740.14	
0.11	-0.09	1.10	1.11	258.40	413.60	540.00	727.62	
0.11	-0.08	1.10	1.11	246.40	380.80	540.00	705.21	
0.11	-0.07	1.10	1.11	246.40	235.20	540.00	638.46	
0.11	-0.07	1.10	1.11	314.40	255.20	579.20	706.72	
0.10	-0.07	1.10	1.11	361.60	324.80	579.20	756.12	
0.10	-0.07	1.11	1.12	291.20	358.40	579.20	740.76	
0.09	-0.07	1.12	1.13	427.20	387.20	570.40	811.04	
0.09	-0.07	1.13	1.14	420.00	408.00	524.80	786.31	
0.09	-0.07	1.14	1.14	420.00	408.00	438.40	731.48	
0.08	-0.07	1.14	1.15	420.00	418.40	423.20	728.39	
0.08	-0.08	1.14	1.15	420.00	418.40	379.20	703.74	
0.08	-0.07	1.15	1.15	392.00	447.20	379.20	705.30	
0.08	-0.07	1.15	1.15	357.60	505.60	379.20	726.16	
0.07	-0.06	1.14	1.15	357.60	408.80	336.80	639.08	
0.07	-0.07	1.14	1.14	357.60	470.40	355.20	689.44	
0.07	-0.08	1.13	1.14	380.80	535.20	413.60	776.22	
0.07	-0.09	1.13	1.13	508.80	662.40	476.00	961.37	
0.09	-0.09	1.12	1.13	653.60	662.40	344.80	992.40	
0.09	-0.09	1.12	1.13	553.60	712.80	385.60	981.45	
0.10	-0.09	1.11	1.12	442.40	688.80	430.40	924.88	
0.09	-0.09	1.10	1.11	642.40	652.00	524.00	1054.68	
0.08	-0.09	1.09	1.10	621.60	709.60	524.00	1079.12	
0.08	-0.10	1.08	1.09	618.40	682.40	524.00	1059.56	
0.08	-0.11	1.06	1.07	669.60	629.60	800.00	1218.51	
0.08	-0.11	1.06	1.07	618.40	581.60	932.80	1261.27	
0.07	-0.10	1.07	1.08	760.00	605.60	1052.00	1432.15	
0.06	-0.10	1.08	1.09	815.20	525.60	1052.00	1430.91	
0.06	-0.09	1.08	1.09	815.20	482.40	1052.00	1415.61	
0.06	-0.09	1.08	1.08	853.60	482.40	1104.00	1476.54	
0.06	-0.10	1.07	1.08	867.20	533.60	1256.00	1616.88	
0.07	-0.10	1.05	1.06	971.20	476.00	1598.40	1929.95	
0.10	-0.10	1.02	1.03	1007.20	476.00	2081.60	2360.95	
0.11	-0.11	1.00	1.01	1007.20	620.00	1694.40	2066.36	
0.13	-0.12	0.98	0.99	1092.00	737.60	1909.60	2320.15	
0.14	-0.12	0.94	0.96	1092.00	737.60	1909.60	2320.15	
0.15	-0.12	0.91	0.93	1092.00	738.40	1744.80	2186.78	
0.17	-0.10	0.90	0.93	656.80	1039.20	1558.40	1984.93	
0.15	-0.08	0.92	0.93	1096.00	888.80	1895.20	2362.83	
0.12	-0.07	0.96	0.97	1588.00	976.80	2603.20	3201.96	
0.09	-0.07	0.97	0.98	1588.00	884.00	2603.20	3174.88	
0.06	-0.05	1.01	1.01	1588.00	1290.40	3289.60	3874.06	
0.02	-0.04	1.06	1.06	1460.80	1290.40	3000.80	3578.25	
-0.00	-0.02	1.09	1.09	1460.80	1317.60	3000.80	3588.15	
-0.03	0.00	1.12	1.12	1289.60	1020.00	2730.40	3187.25	
-0.05	0.02	1.14	1.14	941.60	928.00	2300.80	2653.58	
-0.07	0.02	1.16	1.16	1040.00	762.40	2068.80	2437.78	
-0.09	0.00	1.16	1.16	696.00	1061.60	2068.80	2427.21	
-0.09	0.00	1.15	1.16	688.80	1061.60	2068.80	2425.15	
-0.08	0.00	1.12	1.12	496.00	1027.20	1316.80	1742.16	
-0.08	-0.00	1.11	1.11	593.60	1100.00	1700.80	2110.71	
-0.07	-0.01	1.08	1.08	496.00	1074.40	1525.60	1930.75	
-0.08	-0.01	1.05	1.05	629.60	1074.40	1123.20	1676.99	
-0.09	-0.01	1.04	1.04	692.00	1301.60	870.40	1711.91	
-0.09	-0.00	1.05	1.05	692.00	1301.60	1052.80	1811.47	
-0.09	0.00	1.06	1.06	606.40	1301.60	1017.60	1759.94	
-0.10	0.01	1.07	1.07	734.40	1301.60	1072.00	1839.21	
-0.11	0.02	1.08	1.08	867.20	818.40	870.40	1476.28	
-0.12	0.02	1.07	1.08	575.20	908.80	853.60	1373.10	
-0.11	0.01	1.07	1.08	575.20	787.20	853.60	1295.83	
-0.11	0.02	1.07	1.08	575.20	777.60	818.40	1267.00	
-0.11	0.04	1.07	1.07	765.60	765.60	1073.60	1524.76	
-0.09	0.04	1.06	1.07	892.80	592.80	1073.60	1516.94	
-0.08	0.04	1.06	1.07	572.80	496.80	1073.60	1314.35	
-0.08	0.04	1.07	1.07	572.80	475.20	1073.60	1306.34	
-0.08	0.04	1.07	1.07	572.80	475.20	1096.00	1324.81	
-0.08	0.04	1.08	1.08	572.80	475.20	1284.00	1484.11	
-0.08	0.05	1.09	1.10	494.40	482.40	1576.80	1721.46	
-0.07	0.06	1.11	1.11	508.00	408.00	1576.80	1706.11	
-0.07	0.07	1.12	1.12	484.00	248.80	1576.80	1668.07	
-0.07	0.07	1.12	1.12	484.00	257.60	1576.80	1669.40	
-0.07	0.06	1.12	1.12	513.60	252.80	1576.00	1676.74	
-0.06	0.06	1.11	1.11	576.00	262.40	1684.80	1799.77	
-0.06	0.08	1.10	1.10	659.20	749.60	1684.80	1958.31	
-0.05	0.07	1.09	1.09	659.20	935.20	1684.80	2036.59	
-0.04	0.06	1.09	1.09	843.20	962.40	1684.80	2115.60	
-0.03	0.06	1.08	1.09	843.20	1033.60	1684.80	2148.92	
-0.02	0.04	1.07	1.07	753.60	1186.40	1686.40	2195.31	
-0.02	0.03	1.06	1.06	740.80	1041.60	1288.00	1814.57	
-0.02	0.02	1.05	1.05	702.40	1012.80	1288.00	1782.72	
-0.01	0.03	1.06	1.06	702.40	1151.20	1288.00	1864.82	
-0.01	0.03	1.08	1.08	702.40	1151.20	1288.00	1864.82	
-0.01	0.03	1.09	1.09	719.20	1337.60	1120.00	1887.01	
-0.01	-0.00	1.09	1.09	719.20	796.00	1264.00	1657.88	
-0.01	-0.00	1.08	1.08	624.80	745.60	1264.00	1594.99	
0.00	-0.01	1.08	1.08	980.80	746.40	1264.00	1765.44	
0.02	-0.01	1.07	1.07	980.80	670.40	1281.60	1747.54	
0.03	-0.02	1.06	1.06	980.80	840.80	1182.40	1751.28	
0.04	-0.02	1.06	1.06	956.00	840.80	1134.40	1705.21	
0.04	-0.03	1.06	1.06	891.20	946.40	1134.40	1725.33	
0.06	-0.01	1.03	1.04	1588.00	1576.00	1794.40	2867.99	
0.09	-0.01	1.03	1.03	1658.40	1576.00	1724.80	2865.14	
0.12	0.01	1.03	1.03	1740.00	1925.60	1684.00	3093.77	
0.13	0.01	1.04	1.04	1740.00	1906.40	1407.20	2939.76	
0.13	0.00	1.06	1.06	1662.40	1864.80	1509.60	2918.89	
0.11	-0.01	1.07	1.07	1771.20	2138.40	1829.60	3325.26	
0.09	-0.02	1.09	1.09	1632.00	1915.20	1797.60	3092.37	
0.08	-0.02	1.10	1.10	1395.20	1896.00	1764.80	2942.09	
0.09	-0.01	1.09	1.10	1733.60	1915.20	1764.80	3128.56	
0.12	-0.01	1.08	1.09	1248.80	1803.20	1764.80	2815.24	
0.11	-0.05	1.10	1.11	1320.80	1147.20	1215.20	2130.09	
0.08	-0.07	1.11	1.12	1566.40	1147.20	1432.80	2413.00	
0.05	-0.10	1.13	1.14	1055.20	462.40	1579.20	1954.77	
0.04	-0.10	1.16	1.16	873.60	432.00	984.00	1384.94	
0.03	-0.11	1.16	1.17	752.00	301.60	889.60	1203.27	
0.03	-0.10	1.14	1.15	737.60	338.40	1292.80	1526.40	
0.04	-0.10	1.13	1.14	662.40	338.40	1110.40	1336.52	
0.05	-0.10	1.13	1.13	581.60	305.60	1049.60	1238.27	
0.04	-0.10	1.15	1.15	732.80	331.20	1382.40	1599.29	
0.02	-0.11	1.17	1.18	932.80	324.00	1382.40	1698.86	
0.00	-0.13	1.19	1.20	687.20	927.20	1164.80	1639.73	
0.00	-0.14	1.18	1.19	568.00	927.20	1296.00	1691.73	
0.01	-0.12	1.16	1.17	760.00	1506.40	1724.00	2412.26	
0.03	-0.10	1.15	1.15	1233.60	1602.40	1724.00	2657.37	
0.05	-0.10	1.13	1.14	1233.60	1512.80	1320.80	2356.87	
0.06	-0.10	1.15	1.15	1223.20	1515.20	1387.20	2390.89	
0.07	-0.10	1.15	1.16	1089.60	1466.40	1345.60	2268.96	
0.06	-0.11	1.15	1.15	1012.80	1595.20	1515.20	2422.04	
0.06	-0.11	1.12	1.13	1072.00	1595.20	1508.00	2442.93	
0.08	-0.11	1.10	1.11	1223.20	1715.20	1583.20	2635.27	
0.10	-0.09	1.09	1.10	1292.00	1395.20	1169.60	2232.45	
0.12	-0.08	1.10	1.11	1219.20	1068.80	1323.20	2092.76	
0.14	-0.09	1.12	1.13	740.80	1068.80	1032.00	1660.16	
0.12	-0.11	1.13	1.14	1112.80	513.60	904.80	1523.41	
0.11	-0.10	1.11	1.12	789.60	678.40	1448.80	1784.02	
0.11	-0.11	1.10	1.11	789.60	943.20	1448.80	1900.56	
0.11	-0.12	1.10	1.12	789.60	978.40	1516.80	1970.13	
0.12	-0.12	1.11	1.12	808.80	1094.40	1555.20	2066.52	
0.13	-0.11	1.13	1.14	911.20	957.60	1555.20	2041.06	
0.14	-0.11	1.14	1.15	731.20	959.20	1398.40	1846.68	
0.12	-0.11	1.15	1.16	1029.60	1005.60	1244.80	1902.85	
0.10	-0.10	1.14	1.15	1252.00	1035.20	1420.00	2157.67	
0.08	-0.09	1.13	1.13	876.80	1260.00	1642.40	2248.08	
0.06	-0.08	1.11	1.12	1004.80	1115.20	1244.80	1950.08	
0.05	-0.07	1.12	1.12	918.40	1154.40	1115.20	1849.26	
0.05	-0.05	1.11	1.11	816.00	1202.40	1115.20	1831.75	
0.05	-0.03	1.09	1.09	817.60	786.40	1115.20	1590.78	
0.06	-0.02	1.07	1.08	734.40	728.80	1014.40	1448.97	
0.06	-0.03	1.06	1.07	734.40	800.80	880.00	1398.22	
0.05	-0.04	1.05	1.06	677.60	835.20	965.60	1445.37	
0.06	-0.03	1.04	1.04	757.60	900.00	978.40	1530.11	
0.07	-0.02	1.02	1.03	823.20	866.40	852.00	1467.72	
0.08	-0.02	1.02	1.02	838.40	935.20	830.40	1505.68	
0.10	-0.03	1.02	1.03	688.80	1025.60	933.60	1548.52	
0.11	-0.04	1.04	1.04	475.20	1126.40	1137.60	1669.95	
0.12	-0.05	1.06	1.07	428.80	852.80	1348.80	1652.39	
0.12	-0.05	1.08	1.09	361.60	852.80	1225.60	1536.27	
0.12	-0.05	1.10	1.11	361.60	852.80	1303.20	1598.86	
0.12	-0.05	1.11	1.12	417.60	907.20	1303.20	1641.87	
0.13	-0.04	1.12	1.13	388.00	664.00	1303.20	1513.20	
0.14	-0.04	1.14	1.15	434.40	664.00	1303.20	1525.76	
0.15	-0.05	1.14	1.15	419.20	860.00	1303.20	1616.68	
0.15	-0.06	1.15	1.17	419.20	769.60	1409.60	1659.81	
0.15	-0.05	1.17	1.18	419.20	1030.40	1206.40	1640.99	
0.15	-0.06	1.17	1.18	698.40	1566.40	1204.00	2095.47	
0.13	-0.07	1.18	1.19	658.40	1515.20	1654.40	2338.03	
0.13	-0.06	1.19	1.20	658.40	1515.20	1517.60	2243.31	
0.10	-0.04	1.20	1.20	1246.40	1883.20	1590.40	2762.12	
0.08	-0.05	1.20	1.20	1246.40	2180.80	1590.40	2973.01	
0.04	-0.05	1.19	1.20	1892.00	2180.80	1590.40	3296.20	
-0.01	-0.05	1.19	1.19	1848.00	2202.40	1590.40	3285.58	
-0.06	-0.04	1.19	1.19	1912.80	2035.20	1596.00	3216.84	
-0.07	-0.08	1.14	1.15	1752.80	3154.40	2831.20	4586.75	
-0.05	-0.10	1.22	1.22	2633.60	2388.80	5400.80	6466.13	
-0.01	-0.11	1.25	1.26	2654.40	2705.60	4374.40	5788.05	
0.04	-0.12	1.23	1.24	2796.00	2692.80	4964.00	6301.59	
0.08	-0.10	1.19	1.20	2796.00	2997.60	5628.00	6962.59	
0.12	-0.07	1.14	1.14	2533.60	3706.40	5804.80	7338.41	
0.15	0.02	1.03	1.04	2533.60	4292.80	7585.60	9076.82	
0.18	0.06	0.94	0.96	2533.60	3971.20	7316.00	8701.35	
0.23	0.08	0.90	0.93	3132.00	3971.20	6931.20	8580.29	
0.30	0.10	0.88	0.93	2372.00	3971.20	6194.40	7730.94	
0.34	0.15	0.91	0.98	1267.20	3248.00	5696.00	6678.30	
0.33	0.14	0.82	0.90	1528.00	3248.00	4241.60	5556.57	
0.34	0.14	0.77	0.85	1528.00	3183.20	3844.00	5219.57	
0.25	0.11	0.73	0.78	4122.40	3879.20	3490.40	6650.21	
0.22	0.10	0.71	0.74	3567.20	3879.20	2968.80	6048.71	
0.21	0.05	0.72	0.76	3536.00	4376.80	3540.80	6648.08	
0.22	-0.05	0.82	0.85	3536.00	3676.80	3433.60	6149.13	
0.26	-0.10	0.90	0.94	3628.00	3404.00	2482.40	5559.85	
